id,movie_title,lead_actor1,lead_actor2,sub_actor1,sub_actor2
420,스톱,나카에츠바사,호리나츠코,다케다히로미츠,
421,시간이탈자,임수정,조정석,이진욱,
422,심장박동조작극,이유미,윤정일,,
423,아빠가 돌아왔다,조동혁,조원빈,홍아름,
424,"안녕, 전우치! 도술로봇대결전",김율,김새해,정선혜,홍범기
425,암살,전지현,이정재,하정우,
426,앨리스 : 원더랜드에서 온 소년,홍종현,정소민,정연주,
427,약장수,김인권,박철민,이주실,
428,역모 - 반란의 시대,정해인,김지훈,이원종,조재윤
429,연평해전,김무열,진구,이현우,
430,열정같은소리하고있네,정재영,박보영,,
431,엽기적인 그녀 2,차태현,빅토리아,,
432,오디세오,,,,
433,오빠 생각 ,탁재훈,유세윤,양세형,
434,우리 연애의 이력,전혜빈,신민철,,
435,위험한 상견례 2,진세연,홍종현,신정근,전수경
436,이바라키의 여름,,,,
437,일어서는 인간,허지원,전수지,임형국,
438,잡아야 산다,김승우,김정태,혁,
439,조선마술사,유승호,고아라,,
440,좋아해줘,이미연,최지우,김주혁,유아인
441,춘희막이,김춘희,최막이,,
442,치외법권,임창정,최다니엘,,
443,타이밍,,,,
444,탐정 : 더 비기닝,권상우,성동일,,
445,퇴마: 무녀굴,김성균,유선,천호진,차예련
446,트윈스터즈,사만다푸터먼,아나이스보르디에,,
447,특별수사: 사형수의 편지,김명민,김상호,성동일,김영애
448,특종: 량첸살인기,조정석,이미숙,이하나,
449,필름시대사랑,박해일,안성기,문소리,한예리
450,해어화,한효주,유연석,천우희,박성웅
451,"협녀, 칼의 기억",이병헌,전도연,김고은,
452,희생부활자,김래원,김해숙,,
453,히야,안보현,호야,박철민,강성미
454,JSA 남북공동초등학교,김지은,김예리,남동하,김미영
455,개를 훔치는 완벽한 방법,이레,이지원,홍은택,김혜자
456,경성학교: 사라진 소녀들,박보영,엄지원,박소담,
457,고스트 메신저 극장판,은정,박성태,정재헌,양정화
458,국제시장,황정민,김윤진,오달수,정진영
459,그 사람 그 사랑 그 세상,강석우,이광기,최강희,배창복
460,그 사람 추기경,김수환,,,
461,극비수사,김윤석,유해진,,
462,기술자들,김우빈,김영철,고창석,이현우
463,나의 독재자,설경구,박해일,,
464,나의 사랑 나의 신부,조정석,신민아,,
465,내 심장을 쏴라,이민기,여진구,,
466,누구에게나 찬란한,김남길,김태근,박철우,신성훈
467,달에 부는 바람,김예지,김미영,김자엽,김하늘
468,더 테너 리리코 스핀토,유지태,차예련,이세야유스케,
469,덕수리 5형제,윤상현,송새벽,이아이,찬성
470,두근두근 내 인생,강동원,송혜교,조성목,
471,마지막 위안부,문시호,김미영,레이,
472,무서운 집,구윤희,,,
473,베테랑,황정민,유아인,유해진,오달수
474,블랙가스펠2: 소울을 찾는 여정가운데 만난 사람들,양동근,,,
475,빅매치,이정재,신하균,이성민,보아
476,사도,송강호,유아인,문근영,
477,상의원,한석규,고수,박신혜,유연석
478,소녀괴담,강하늘,김소은,,
479,소셜포비아,변요한,이주승,류준열,하윤경
480,스퀴시랜드,배정미,남도형,김선혜,
481,스피릿오브베토벤,코리안심포니오케스트라,,,
482,슬로우 비디오,차태현,남상미,,
483,신이 보낸 사람,김인권,,,
484,신화 라이브 3D 더 레전드 컨티뉴스,신화,,,
485,십이야 : 깊고 붉은 열두 개의 밤 Chapter 1,이관훈,정보름,박은석,배영란
486,쎄시봉,정우,김윤석,한효주,김희애
487,아일랜드 - 시간을 훔치는 섬,오지호,문가영,,
488,"어떤여행, 시민창작뮤지컬",추민주,,,
489,역린,현빈,정재영,조정석,조재현
490,"연애의 발동 : 상해 여자, 부산 남자",지진희,진의함,진학동,혜림
491,오늘의 연애,이승기,문채원,이서진,정준영
492,우리는 썰매를 탄다,정승환,한민수,유만균,이종경
493,원령,홍수아,,,
494,위로공단,신순애,이총각,이기복,김영미
495,유신의 미학,김효비,오유진,박상현,김동현
496,장수상회,박근형,윤여정,조진웅,한지민
497,정글히어로,양세나,심규혁,김현지,조성목
498,제 7기사단,클라이브오웬,모건프리먼,엑셀헨니,
499,제보자,박해일,유연석,이경영,
500,조선명탐정 : 사라진 놉의 딸,김명민,오달수,이연희,
501,쥬로링 동물탐정 극장판,김서영,양정화,문남숙,김정아
502,최강전사 미니특공대 : 새로운 악당의 습격,엄상현,전태열,신용우,이소영
503,터널 3D,정유미,연우진,송재림,정시연
504,파울볼,김성근,고양원더스선수들,조진웅,
505,표적,류승룡,유준상,이진욱,김성령
506,프랑스 영화처럼,이영란,전지윤,다솜,정준원
507,학교 가는 길,이은자,정난모,조부용,장민희
508,한민족 그리고 조선족,전화성,박규리,박연희,유은조
509,해적: 바다로 간 산적,김남길,손예진,,
510,허삼관,하정우,하지원,,
511,4등,박해준,이항나,유재상,최무성
512,GROW: 인피니트의 리얼 청춘 라이프,인피니트,,,
513,감시자들,설경구,정우성,한효주,
514,결혼전야,,,,
515,고령화 가족,박해일,윤제문,공효진,윤여정
516,곤충왕국 3D,김성주,김민국,김민율,
517,군도:민란의 시대,하정우,강동원,,
518,극장판 뛰뛰빵빵 구조대 미션 : 둥둥이를 구하라!,양정화,안영미,홍범기,
519,깡철이,유아인,김해숙,,
520,남자가 사랑할 때,,,,
521,넛잡: 땅콩 도둑들,윌아넷,캐서린헤이글,리암니슨,브렌든프레이저
522,노브레싱,서인국,이종석,유리,
523,다이너마이트맨,정도원,박건규,,
524,더 테러 라이브,하정우,이경영,전혜진,
525,돼지 같은 여자,황정음,이종혁,최여진,박진주
526,또 하나의 약속,박철민,윤유선,김규리,박희정
527,뜨거운 안녕,이홍기,마동석,임원희,백진희
528,레드 툼,,,,
529,막걸스,홍아름,창조,임원희,김민영
530,몽타주,류경수,,,
531,무명인,니시지마히데토시,김효진,,
532,무서운 이야기 2,성준,이수혁,백진희,김슬기
533,미스터 고,성동일,서교,,
534,밤의 여왕,김민정,천정명,,
535,보호자,,,,
536,분신사바 2,박한별,신지뢰,장정정,
537,붉은가족,조명연,,,
538,브링 홈: 아버지의 땅,김민종,텐진릭돌,,
539,설국열차,크리스에반스,송강호,에드해리스,존허트
540,소명 하늘의 별,조태환,오순옥,조예은,송채환
541,소수의견,윤계상,유해진,김옥빈,
542,소원,,,,
543,수상한 그녀,심은경,나문희,박인환,성동일
544,숨바꼭질,,,,
545,슈퍼쇼4 3D,슈퍼주니어,이특,시원,예성
546,슈퍼피쉬 - 끝없는 여정,유동근,,,
547,시선,김기철,,,
548,아빠를 빌려드립니다,김상경,문정희,최다인,채정안
549,아유레디?,장광,고형원,,
